,GSID,Project Name,Project Developer Name,Status,Sustainable Development Goals,Project Type,Country,Description,Estimated Annual Credits,Methodology,Size,Programme of Activities,POA GSID,CORSIA
1872,6411,Household biogas project in Uttarakhand and Kerala India,First Climate Markets AG,Gold Standard Certified Project,"13,3,7",Energy Efficiency - Domestic,India,"The project activity involves bundling 4,302 household biogas plants located in Uttarakhand and 3,541 plants in Kerala of varying capacities – 1m3, 2m3, 3m3, 4m3 and 6m3. Plants covered under the project activity are commissioned from November April 2017 onwards. The biogas plants are of deenbandhu model. The purpose of the project is to replace the commonly used inefficient wood fired mud stoves technology, with clean, sustainable and efficient biogas. Each household utilizes cow dung to feed the digester for the production of biogas for cooking purpose and heating water.  This leads to reduction of greenhouse gas emissions by displacing conventionally used non renewable biomass with renewable biogas. In addition, the hygienic conditions in the rural areas will be improved by an appropriate disposal of waste. Further, residue from the bio digesters can be used as organic fertilizer and will improve soil conditions in rural areas. Project activity will contribute towards sustainable development by replacing firewood with biogas generated from the biodigesters.",45000,AMS-I.E. Switch from Non-Renewable Biomass for Thermal Applications by the User,Small Scale,Standalone,,1
1873,6405,India FaL-G Brick and Blocks Project No.4,Eco Carbon Pvt. Ltd.,Listed,"13,9,12",Energy Efficiency - Industrial,India,Waste Management and Handling; Energy Conservation,44877,"AMS-III.Z. Fuel Switch, process improvement and energy efficiency in brick manufacture",Small Scale,Standalone,,0
1874,6356,Solar Water Heater Program in India-CPA-6,Nuetech Solar Systems Private Limited,Gold Standard Certified Project,13,Solar Thermal - Heat,India,"CPA-6 is a part of the PoA “Solar Water Heater Program in India"". The purpose of the SSC-CPA-6 is to install solar water heaters (SWH) in residential as well as commercial buildings throughout India. The project activity aims to save electricity generated from fossil fuel by using renewable energy to meet hot water demand and will result in reduction of CO2 emissions.",30000,Not provided,Small Scale,VPA,3378.0,0
1875,6351,GS1247 VPA 141 Lango Safe Water Project,CO2balance UK ltd,Gold Standard Certified Project,"13,6,5,3",Energy Efficiency - Domestic,Uganda,"The Micro-Scale Voluntary Project Activity  in the Lango sub Region is eligible under the Gold Standard methodology Technologies and Practices to Displace Decentralized Thermal Energy Consumption Version 1. The project will support the provision of safe water using borehole technology to hundreds of households within the the Lango region (Dokolo, Otuke, Alebtong, Kole, Lira and Oyam districts.) By providing safe water, the project will ensure that households consume less firewood during the process of water purification and as a result there shall be a reduction of carbon dioxide emissions from the combustion process.",10000,GS TPDDTEC v 1.,Micro scale,VPA,1247.0,0
1876,6350,GS1247 VPA 140 Lango Safe Water Project,CO2balance UK ltd,Gold Standard Certified Project,"13,6,5,3",Energy Efficiency - Domestic,Uganda,"The Micro-Scale Voluntary Project Activity  in the Lango sub Region is eligible under the Gold Standard methodology Technologies and Practices to Displace Decentralized Thermal Energy Consumption Version 1. The project will support the provision of safe water using borehole technology to hundreds of households within the the Lango region (Dokolo, Otuke, Alebtong, Kole, Lira and Oyam districts.) By providing safe water, the project will ensure that households consume less firewood during the process of water purification and as a result there shall be a reduction of carbon dioxide emissions from the combustion process.",10000,GS TPDDTEC v 1.,Micro scale,VPA,1247.0,0
1877,635,Selimoglu 9.3 MW HPP,ARSIN Enerji,Gold Standard Certified Project,"13,9,7","Small, Low - Impact Hydro",Turkey,"Selimoglu is a run off river HPP located close to Arsin district of Trabzon, Turkey.   Project will have installed capacity of 9.3 MW whereas expected generation is   about   32GWh per annum.",20000,ACM0002 Grid-connected electricity generation from renewable sources,Small Scale,Standalone,,0
1878,6349,GS1247 VPA 139 Lango Safe Water Project,CO2balance UK ltd,Gold Standard Certified Project,"13,6,5,3",Energy Efficiency - Domestic,Uganda,"The Micro-Scale Voluntary Project Activity  in the Lango sub Region is eligible under the Gold Standard methodology Technologies and Practices to Displace Decentralized Thermal Energy Consumption Version 1. The project will support the provision of safe water using borehole technology to hundreds of households within the the Lango region (Dokolo, Otuke, Alebtong, Kole, Lira and Oyam districts.) By providing safe water, the project will ensure that households consume less firewood during the process of water purification and as a result there shall be a reduction of carbon dioxide emissions from the combustion process.",10000,GS TPDDTEC v 1.,Micro scale,VPA,1247.0,0
1879,634,AY-YILDIZ 15 MW WPP,AKENERJI ELEKTRIK URETIM AS,Gold Standard Certified Project,"13,6,7,8",Wind,Turkey,"AY-Yildiz 15 WPP will be established in Edincik, Bandirma Turkey. Five turbines   will be used, eash having 3MW installed capacity. Expected electiricity generation is   about 52 GWh per year and corresponding emission reduction is about 34,000   tCO2e per annum.",30997,ACM0002 Grid-connected electricity generation from renewable sources,Small Scale,Standalone,,0
1880,633,16.7 MW HAMZALI Hydroelectric Power Plant,RESADIYE HAMZALI ELEKTRIK ÜRETIM SANAYI VE TICARET ANONIM SIRKETI,Gold Standard Certified Project,"13,7,8","Small, Low - Impact Hydro",Turkey,"HAMZALI project is an integrated energy generation and irrigation project.   Project includes construction of a Hydro Power Plant and irrigation structures   using water from Kýzýlýrmak River of Turkey. BUGRA regulator, which is the   main part of the project, is located at about 15 km northeast of Kalecik district   of Ankara and 800m southwest of BUGRA village.   In addition to regulator, project  activities also include water transport channels,   loading pool, penstock, office buildings, switchgear station, tail water channel,   transmission line, energy plant and related equipments.      HAMZALI HPP will have a total installed capacity of 17 MW whereas expected   electricity generation is about  125 GWh per annum which is expected to result   in about 78,000 tons of CO2 emission reduction.   Project will also enable irrigation of about 9,600 ha landvia the elevation   difference hence without use on energy.Converted to SoP (changed in registry July 14th 2011 - KB)",62868,ACM0002 Grid-connected electricity generation from renewable sources,Large Scale,Standalone,,0
1881,6310,Improved cook stove project for smallholder coffee farmers in Uganda.,Fairtrade International,Gold Standard Certified Design,"13,15,3",Energy Efficiency - Domestic,Uganda,The goal of the project is to contribute to improved sustainable livelihoods for rural population in Uganda through the introduction of Improved Cook Stoves that will reduce the consumption of fuel wood. Core group of beneficiaries will be small-scale coffee producers in Central and Western Uganda. ,3003,AMS-I.E. Switch from Non-Renewable Biomass for Thermal Applications by the User,Microscale,Standalone,,0
1882,6301,Household Biogas plants installed in rural areas of Uttar Pradesh & Maharashtra,Swiss Carbon Value Ltd.,Gold Standard Certified Project,"13,3,7",Biogas - Heat,India,"This project leads to reduction of greenhouse gas emissions by displacing conventionally used non renewable biomass with renewable biogas. In addition, the hygienic conditions in the rural areas will be improved by an appropriate disposal of waste. Further, residue from the bio digesters is used as organic fertilizer and will improve soil conditions in rural areas.",50000,AMS-I.E. Switch from Non-Renewable Biomass for Thermal Applications by the User,Small Scale,Standalone,,1
1883,6290,200 MW Wind Power Project in Tamil Nadu by Orange Sironj,Orange Renewable Power Pvt Ltd,Gold Standard Certified Project,"13,4,6,3,7,8",Wind,India,"The project activity is a 200 MW wind power project, promoted by Orange Sironj Wind Power Pvt Ltd. The purpose of the project activity is to generate clean electricity with utilization of wind energy. The Project comprises of 100 WTGs of Gamesa G114 max 2 MW turbines.",613844,ACM0002 Grid-connected electricity generation from renewable sources,Large Scale,Standalone,,1
1884,628,*PRE_CDM VER Tonk Biomass Project India,Kalpataru Power Transmission Limited,Gold Standard Certified Project,"13,7,8","Biomass, or Liquid Biofuel - Electricity",India,"The project activity is a biomass-based power generation plant with an installed   capacity of 8MW that uses direct combustion boiler technology and is located in   Khatoli village  near Uniara town, in the Tonk District of the state of Rajasthan, India.",29530,AMS-I.D. Grid connected renewable electricity generation,Small Scale,Standalone,,0
1885,626,GUABIRA ENERGÍA Bagasse Cogeneration Project,GUABIRA ENERGIA S.A.,Gold Standard Certified Design,"13,9,7","Biomass, or Liquid Biofuel - Cogeneration",Bolivia Plurinational State of,"Cogeneration project based on bagasse from a sugar factory in Bolivia. The   electricity generated is sold to the national grid, while the heat is used in the   production process.",86739,ACM0002 Grid-connected electricity generation from renewable sources,Small Scale,Standalone,,0
1886,622,Kumbango POME Methane Capture Project,Carbon Bridge Pte Ltd,Gold Standard Certified Project,"13,3,12",Biogas - Electricity,Papua New Guinea,"Palm Oil is produced at the New Britain Palm Oil Limited   (NBPOL) Kumbango Mill from fresh oil palm fruit bunches.   Processing of the fresh fruit bunches produces large amounts   of organic rich wastewater which has historically been treated   in open anaerobic ponds. The anaerobic treatment process   produces large amounts of methane which is freely released to   the atmosphere. The project will reduce GHG emissions by   capturing this methane and combusting it in an engine to   produce electricity.    The primary technology employed by the Project Activity is an   in-ground anaerobic digestor equipped with a system for the   capture, collection and utilization of biogas. This technology   is new to Papua New Guinea and the NBPOL projects are amongst   the first of their kind. The biogas will be used as fuel to   generate electricity in two biogas engines. A flare will be   installed to combust any excess biogas that cannot be utilised   in the biogas engine.",62790,AMS-I.D. Grid connected renewable electricity generation,Small Scale,Standalone,,0
